Date,Open,High,Low,Close,Volume,SMA(20),EMA(20),"TSI(2,20)",EMA(12),EMA(26),"MACD(12,26)",MACD Signal(9),PSAR(0.02),ADL(20),ADR(20),ATR(20),ADX(20),Aroon(20) up,Aroon(20) down,Aroon(20) Oscillator,Tenkan(9),Kijun(26),Senkou(26)_A,Senkou(52)_B,Chikou(26),Keltner(20)_mid,Keltner(20)_upper,Keltner(20)_lower,RSI(14),BB_MAVG(20),BB_UP(20),BB_DOWN(20),CCI(20),CMO(14),DEMARK(14),Donchian(20) mid,Donchian(20) up,Donchian(20) down,Pivot,Support,Resistance,stochastic_oscillator Low(14),stochastic_oscillator High(14),stochastic_oscillator %K(14),stochastic_oscillator %D(3),Williams(14),PSY(12),NPSY(12)
2000-01-03,1469.25,1478.0,1438.36,1455.22,931800000,,1455.22,,1455.22,1455.22,0.0,0.0,1455.22,,,,,,,,,,,,1411.71,1455.22,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,1455.22,1455.22,1397.43,1399.42,1009000000,,1426.6395,-100.0,1446.6354,1451.0867,-4.4513,-0.8903,1438.36,,,,,,,,,,,,1416.83,1449.9057,,,,,,,,,,,,,1457.1933,1436.3867,1476.0267,,,,,,,
2000-01-05,1399.42,1413.27,1377.68,1402.11,1085500000,,1418.061,-95.812,1439.7853,1447.4588,-7.6734,-2.2469,1455.22,,,,,,,,,,,,1387.12,1445.3537,,,,,,,,,,,,,1417.3567,1379.4933,1437.2833,,,,,,,
2000-01-06,1402.11,1411.9,1392.1,1403.45,1092300000,,1414.1367,-92.7439,1434.1953,1444.1989,-10.0036,-3.7982,1453.6692,,,,,,,,,,,,1389.94,1441.3629,,,,,,,,,,,,,1397.6867,1382.1033,1417.6933,,,,,,,
2000-01-07,1403.45,1441.47,1400.73,1441.47,1225200000,,1420.1494,-61.4828,1435.3145,1443.9967,-8.6823,-4.775,1452.1494,,,,,,,,,,,,1402.05,1441.3731,,,,,,,,,,,,,1402.4833,1393.0667,1412.8667,,,,,,,
2000-01-10,1441.47,1464.36,1441.47,1457.6,1064800000,,1427.1765,-37.4697,1438.743,1445.0044,-6.2614,-5.0723,1377.68,,,,,,,,,,,,1387.67,1442.9185,,,,,,,,,,,,,1427.89,1414.31,1455.05,,,,,,,
2000-01-11,1457.6,1458.66,1434.42,1438.56,1014000000,,1429.0501,-27.8384,1438.7149,1444.527,-5.8122,-5.2203,1379.4136,,,,,,,,,,,,1388.26,1442.5034,,,,,,,,,,,,,1454.4767,1444.5933,1467.4833,,,,,,,
2000-01-12,1438.56,1442.6,1427.08,1432.25,974600000,,1429.5216,-23.3878,1437.7203,1443.6176,-5.8973,-5.3557,1381.1125,,,,,,,,,,,,1346.09,1441.5269,,,,,,,,,,,,,1443.88,1429.1,1453.34,,,,,,,
2000-01-13,1432.25,1454.2,1432.25,1449.68,1030400000,,1432.2226,-15.4696,1439.5602,1444.0667,-4.5064,-5.1858,1382.7775,,,,,,,,1427.84,,,,1352.17,1442.3034,,,,,,,,,,,,,1433.9767,1425.3533,1440.8733,,,,,,,
2000-01-14,1449.68,1473.0,1449.68,1465.15,1085900000,,1436.2838,-6.5476,1443.4971,1445.6284,-2.1313,-4.5749,1384.4091,,,,,,,,1425.34,,,,1360.69,1444.4793,,,,,,,,,,,,,1445.3767,1436.5533,1458.5033,,,,,,,
2000-01-18,1465.15,1465.15,1451.3,1455.14,1056700000,,1438.4458,-2.9754,1445.2883,1446.333,-1.0446,-3.8689,1387.9528,,,,,,,,1425.34,,,,1353.43,1445.4946,,,,,,,,,,,,,1462.61,1452.22,1475.54,,,,,,,
2000-01-19,1455.14,1461.39,1448.68,1455.9,1087800000,,1440.3213,-0.4724,1446.9209,1447.0416,-0.1207,-3.1192,1391.3547,,,,,,,,1432.55,,,,1333.36,1446.4856,,,,,,,,,,,,,1457.1967,1449.2433,1463.0933,,,,,,58.3333,16.6667
2000-01-20,1455.9,1465.71,1438.54,1445.57,1100700000,,1440.8534,-0.9795,1446.7131,1446.9326,-0.2196,-2.5393,1394.6205,,,,,,,,1436.865,,,,1348.05,1446.3984,,,,,,,,,,,,,1455.3233,1449.2567,1461.9667,,,,,,58.3333,16.6667
2000-01-21,1445.57,1453.18,1439.6,1441.36,1209800000,,1440.9022,-2.2079,1445.8895,1446.5198,-0.6303,-2.1575,1397.7556,,,,,,,,1450.04,,,,1366.42,1445.9185,,,46.4918,,,,,-7.0163,0.4981,,,,1449.94,1434.17,1461.34,1377.68,1478.0,63.4769,,-36.5231,58.3333,16.6667
2000-01-24,1441.36,1454.09,1395.42,1401.53,1115800000,,1437.2896,-10.7725,1439.065,1443.1873,-4.1223,-2.5505,1473.0,,,,,,,,1434.21,,,,1379.19,1441.691,,,38.6907,,,,,-22.6187,0.4002,,,,1444.7133,1436.2467,1449.8267,1377.68,1473.0,25.021,,-74.979,50.0,0.0
2000-01-25,1401.53,1414.26,1388.49,1410.03,1073700000,,1434.8941,-14.1369,1434.5981,1440.7312,-6.1331,-3.267,1471.4484,,,,,,,,1430.745,,,,1381.76,1438.6757,,,52.7911,,,,,5.5822,0.4733,,,,1417.0133,1379.9367,1438.6067,1377.68,1473.0,33.9383,40.8121,-66.0617,50.0,0.0
2000-01-26,1410.03,1412.73,1400.16,1404.09,1117300000,,1432.2919,-17.21,1429.9045,1438.017,-8.1125,-4.2361,1468.1301,,,,,,,,1430.745,,,,1409.17,1435.3818,,,50.5121,,,,,1.0242,0.5295,,,,1404.26,1394.26,1420.03,1388.49,1473.0,18.4594,25.8062,-81.5406,41.6667,-16.6667
2000-01-27,1404.09,1418.86,1370.99,1398.56,1129500000,,1429.5437,-20.0528,1425.0823,1435.0943,-10.012,-5.3913,1464.9445,,,,,,,,1421.995,,,,1391.28,1431.875,,,48.7621,,,,,-2.4758,0.4672,,,,1405.66,1398.59,1411.16,1370.99,1473.0,27.0268,26.4748,-72.9732,33.3333,-33.3333
2000-01-28,1398.56,1398.56,1356.2,1360.16,1095800000,,1424.076,-27.2435,1415.0942,1429.5436,-14.4493,-7.2029,1459.3072,,,,,,,,1410.955,,,,1355.62,1425.045,,,29.4558,,,,,-41.0885,0.346,,,,1396.1367,1373.4133,1421.2833,1356.2,1473.0,3.3904,16.2922,-96.6096,33.3333,-33.3333
2000-01-31,1360.16,1394.48,1350.14,1394.46,993800000,1425.5855,1421.8127,-24.2376,1411.9197,1426.9448,-15.0251,-8.7673,1451.0586,-4428121010.4133,30.0185,30.0185,,5.0,100.0,-95.0,1407.925,,,,1366.7,1422.1321,1482.1691,1362.0951,35.3883,1425.5855,1483.5198,1367.6512,-127.0856,-29.2234,0.2456,1414.07,1478.0,1350.14,1371.64,1344.72,1387.08,1350.14,1473.0,36.0736,22.1636,-63.9264,41.6667,-16.6667
2000-02-01,1394.46,1412.49,1384.79,1409.28,981000000,1423.2885,1420.8817,-19.6587,1411.5136,1425.6363,-14.1227,-9.8384,1440.9668,-4477576684.2547,29.4215,29.4215,,45.0,95.0,-50.0,1407.925,,,,1401.69,1420.9081,1479.7511,1362.0651,43.0891,1423.2885,1479.9035,1366.6735,-58.9786,-13.8218,0.3302,1411.57,1473.0,1350.14,1379.6933,1364.9067,1409.2467,1350.14,1473.0,48.1361,29.2,-51.8639,41.6667,-16.6667
2000-02-02,1409.28,1420.61,1403.49,1409.12,1038600000,1423.7735,1420.0307,-16.8938,1411.1454,1424.4129,-13.2675,-10.5242,1431.8841,-3943024338.0411,27.388,27.388,,40.0,90.0,-50.0,1402.115,,,,1395.07,1419.7854,1474.5614,1365.0094,44.3775,1423.7735,1479.6894,1367.8576,-33.0564,-11.2451,0.3735,1411.57,1473.0,1350.14,1402.1867,1391.8833,1419.5833,1350.14,1473.0,48.0059,44.0718,-51.9941,33.3333,-33.3333
2000-02-03,1409.12,1425.78,1398.52,1424.97,1146500000,1424.9165,1420.3795,-12.3947,1413.2722,1424.4541,-11.1819,-10.6557,1350.14,-2734842751.9333,26.9715,26.9715,,35.0,85.0,-50.0,1402.115,,,,1383.62,1420.2792,1474.2222,1366.3362,43.9469,1424.9165,1479.8946,1369.9384,-21.8263,-12.1062,0.3408,1411.57,1473.0,1350.14,1411.0733,1401.5367,1418.6567,1350.14,1473.0,60.9067,52.3496,-39.0933,41.6667,-16.6667
