,Signal,1D_Buy_Avg_Return,1D_Buy_Win_Rate,5D_Buy_Avg_Return,5D_Buy_Win_Rate,10D_Buy_Avg_Return,10D_Buy_Win_Rate,20D_Buy_Avg_Return,20D_Buy_Win_Rate,1D_Sell_Avg_Return,1D_Sell_Win_Rate,5D_Sell_Avg_Return,5D_Sell_Win_Rate,10D_Sell_Avg_Return,10D_Sell_Win_Rate,20D_Sell_Avg_Return,20D_Sell_Win_Rate
0,SMA_Signal,0.0002,0.5363,0.001,0.5778,0.0023,0.6136,0.0042,0.6263,-0.0004,0.4641,-0.0021,0.4418,-0.0037,0.4304,-0.0082,0.3646
1,EMA_Signal,0.0002,0.5356,0.001,0.5779,0.0023,0.6061,0.0045,0.6325,-0.0005,0.4634,-0.0022,0.4441,-0.0037,0.4216,-0.0079,0.3802
2,TSI_Signal,0.0002,0.538,0.0013,0.5784,0.0026,0.6056,0.0047,0.6336,-0.0004,0.4681,-0.0016,0.4453,-0.003,0.4211,-0.0075,0.3834
3,MACD_Signal,0.0002,0.5277,0.0012,0.5775,0.0025,0.6152,0.0052,0.6261,-0.0004,0.4556,-0.0016,0.4367,-0.0031,0.4226,-0.006,0.3694
4,PSAR_Signal,0.0001,0.5291,0.0011,0.5738,0.0022,0.607,0.005,0.6317,-0.0006,0.4546,-0.0019,0.4342,-0.0036,0.4185,-0.0066,0.3762
5,ADX_Signal,0.0004,0.5365,0.002,0.5731,0.0044,0.6018,0.0082,0.6343,-0.0002,0.4644,-0.0008,0.4318,-0.0012,0.4072,-0.003,0.3723
6,Aroon_Signal,0.0003,0.5415,0.001,0.5706,0.0021,0.599,0.0034,0.6192,-0.0003,0.4725,-0.002,0.4296,-0.0039,0.4057,-0.0093,0.3543
7,ADL_Signal,0.0001,0.5336,0.0003,0.5631,0.0013,0.5932,0.0035,0.6247,-0.0007,0.4587,-0.0043,0.4138,-0.0066,0.3982,-0.0113,0.3644
8,ADR_Signal,0.0001,0.5168,0.001,0.5747,0.0014,0.5825,0.0037,0.6276,-0.0005,0.4575,-0.0012,0.4136,-0.002,0.3872,-0.0046,0.3691
9,Ichimoku_Signal,0.0002,0.5386,0.0011,0.5701,0.002,0.5963,0.0031,0.6175,-0.0003,0.4711,-0.0019,0.4239,-0.0046,0.4022,-0.0105,0.3541
10,Keltner_Signal,0.0023,0.5587,0.0063,0.5986,0.0062,0.5775,0.0195,0.6549,-0.0001,0.4834,-0.0006,0.4303,-0.0023,0.3551,-0.0041,0.349
11,RSI_Signal,0.0019,0.537,0.004,0.5661,0.0031,0.5529,0.0111,0.582,-0.0,0.4698,-0.0012,0.4077,-0.0029,0.3492,-0.0043,0.3582
12,BB_Signal,0.0006,0.5235,0.0055,0.5831,0.0026,0.5455,0.0141,0.6677,0.0001,0.4876,0.0007,0.4587,-0.0005,0.4215,-0.0002,0.4256
13,CCI_Signal,0.0008,0.5372,0.0031,0.5541,0.0039,0.5588,0.0103,0.6322,0.0,0.4809,-0.0004,0.434,-0.0012,0.3935,-0.0031,0.3704
14,Stoch_Signal,0.0001,0.5363,0.0041,0.5698,0.0032,0.5307,0.0111,0.581,-0.0005,0.4425,-0.0007,0.4167,-0.0018,0.3873,-0.0038,0.3627
15,Williams_Signal,0.0005,0.5275,0.0042,0.5699,0.0051,0.5679,0.0104,0.6207,0.0001,0.4744,-0.0006,0.4255,-0.002,0.3794,-0.0047,0.3558
16,CMO_Signal,0.0019,0.5148,0.01,0.5917,0.0082,0.5503,0.0161,0.5799,-0.0001,0.4652,-0.0012,0.4059,-0.0037,0.317,-0.0061,0.3437
17,DeMarker_Signal,0.0009,0.5461,0.0032,0.5816,0.0057,0.5849,0.0113,0.6293,0.0,0.4684,-0.0012,0.4106,-0.004,0.3484,-0.0056,0.3565
18,Donchian_Signal,0.0001,0.5289,0.0011,0.5895,0.0025,0.6283,0.0043,0.6397,0.0001,0.4831,-0.0026,0.4264,-0.0038,0.4294,-0.0105,0.3451
19,Pivot_Signal,0.0003,0.5572,0.0014,0.5848,0.0031,0.6324,0.0051,0.6434,-0.0002,0.436,-0.0009,0.4337,-0.0019,0.3969,-0.0051,0.3579
20,PSY_Signal,0.0024,0.575,-0.0003,0.525,0.0102,0.525,0.0202,0.525,0.0003,0.4417,-0.0005,0.4294,-0.0008,0.3374,0.0,0.4601
