Signal,Successful_Predictions,Predicted_Declines,False_Alarms,Missed_Declines,Precision,Recall,F1_Score,Total_Signals
EMA_Signal,200,50,1975,1,0.09195402298850575,0.9803921568627451,0.16813787305590583,2175
TSI_Signal,196,45,1953,6,0.09120521172638436,0.8823529411764706,0.16532178704979333,2149
Donchian_Signal,61,35,591,16,0.09355828220858896,0.6862745098039216,0.16466777216459064,652
SMA_Signal,196,51,2174,0,0.08270042194092828,1.0,0.15276695245518318,2370
Ichimoku_Signal,171,41,1992,10,0.07905686546463246,0.803921568627451,0.14395712701737096,2163
Aroon_Signal,178,46,2292,5,0.07206477732793522,0.9019607843137255,0.13346590816476225,2470
PSAR_Signal,169,44,2431,7,0.065,0.8627450980392157,0.12089189474796577,2600
ADL_Signal,106,32,1697,19,0.058790904048807546,0.6274509803921569,0.10750847833666129,1803
MACD_Signal,174,42,2947,9,0.05575136174303108,0.8235294117647058,0.10443282174397668,3121
ADX_Signal,83,22,3011,29,0.026826115061409177,0.43137254901960786,0.0505110579383411,3094
ADR_Signal,28,19,1408,32,0.019498607242339833,0.37254901960784315,0.03705767623293397,1436
Stoch_Signal,7,5,845,46,0.008215962441314555,0.09803921568627451,0.01516136019059996,852
Williams_Signal,18,12,2478,39,0.007211538461538462,0.23529411764705882,0.013994169096209912,2496
Pivot_Signal,9,7,1296,44,0.006896551724137931,0.13725490196078433,0.013133208255159474,1305
DeMarker_Signal,7,3,1101,48,0.00631768953068592,0.058823529411764705,0.011409942950285249,1108
CCI_Signal,9,8,1846,43,0.004851752021563342,0.1568627450980392,0.009412379894110725,1855
PSY_Signal,1,1,162,50,0.006134969325153374,0.0196078431372549,0.009345794392523366,163
RSI_Signal,4,4,1107,47,0.0036003600360036,0.0784313725490196,0.0068846815834767644,1111
BB_Signal,1,1,241,50,0.004132231404958678,0.0196078431372549,0.006825938566552901,242
CMO_Signal,2,2,673,49,0.002962962962962963,0.0392156862745098,0.005509641873278236,675
Keltner_Signal,2,2,809,49,0.002466091245376079,0.0392156862745098,0.0046403712296983765,811
